quran_1_verse_1_authentic	\N	\N	AUTHENTIC	quran_1_verse_1
quran_1_verse_2_authentic	\N	\N	AUTHENTIC	quran_1_verse_2
quran_1_verse_3_authentic	\N	\N	AUTHENTIC	quran_1_verse_3
quran_1_verse_4_authentic	\N	\N	AUTHENTIC	quran_1_verse_4
quran_1_verse_5_authentic	\N	\N	AUTHENTIC	quran_1_verse_5
quran_1_verse_6_authentic	\N	\N	AUTHENTIC	quran_1_verse_6
quran_1_verse_7_authentic	\N	\N	AUTHENTIC	quran_1_verse_7
quran_2_verse_1_authentic	\N	\N	AUTHENTIC	quran_2_verse_1
quran_2_verse_2_authentic	\N	\N	AUTHENTIC	quran_2_verse_2
quran_2_verse_3_authentic	\N	\N	AUTHENTIC	quran_2_verse_3
quran_2_verse_4_authentic	\N	\N	AUTHENTIC	quran_2_verse_4
quran_2_verse_5_authentic	\N	\N	AUTHENTIC	quran_2_verse_5
quran_2_verse_6_authentic	\N	\N	AUTHENTIC	quran_2_verse_6
quran_2_verse_7_authentic	\N	\N	AUTHENTIC	quran_2_verse_7
quran_2_verse_8_authentic	\N	\N	AUTHENTIC	quran_2_verse_8
quran_2_verse_9_authentic	\N	\N	AUTHENTIC	quran_2_verse_9
quran_2_verse_10_authentic	\N	\N	AUTHENTIC	quran_2_verse_10
quran_2_verse_11_authentic	\N	\N	AUTHENTIC	quran_2_verse_11
quran_2_verse_12_authentic	\N	\N	AUTHENTIC	quran_2_verse_12
quran_2_verse_13_authentic	\N	\N	AUTHENTIC	quran_2_verse_13
quran_2_verse_14_authentic	\N	\N	AUTHENTIC	quran_2_verse_14
quran_2_verse_15_authentic	\N	\N	AUTHENTIC	quran_2_verse_15
quran_2_verse_16_authentic	\N	\N	AUTHENTIC	quran_2_verse_16
quran_2_verse_17_authentic	\N	\N	AUTHENTIC	quran_2_verse_17
quran_2_verse_18_authentic	\N	\N	AUTHENTIC	quran_2_verse_18
quran_2_verse_19_authentic	\N	\N	AUTHENTIC	quran_2_verse_19
quran_2_verse_20_authentic	\N	\N	AUTHENTIC	quran_2_verse_20
quran_2_verse_21_authentic	\N	\N	AUTHENTIC	quran_2_verse_21
quran_2_verse_22_authentic	\N	\N	AUTHENTIC	quran_2_verse_22
quran_2_verse_23_authentic	\N	\N	AUTHENTIC	quran_2_verse_23
quran_2_verse_24_authentic	\N	\N	AUTHENTIC	quran_2_verse_24
quran_2_verse_25_authentic	\N	\N	AUTHENTIC	quran_2_verse_25
quran_2_verse_26_authentic	\N	\N	AUTHENTIC	quran_2_verse_26
quran_2_verse_27_authentic	\N	\N	AUTHENTIC	quran_2_verse_27
quran_2_verse_28_authentic	\N	\N	AUTHENTIC	quran_2_verse_28
quran_2_verse_29_authentic	\N	\N	AUTHENTIC	quran_2_verse_29
quran_2_verse_30_authentic	\N	\N	AUTHENTIC	quran_2_verse_30
quran_2_verse_31_authentic	\N	\N	AUTHENTIC	quran_2_verse_31
quran_2_verse_32_authentic	\N	\N	AUTHENTIC	quran_2_verse_32
quran_2_verse_33_authentic	\N	\N	AUTHENTIC	quran_2_verse_33
quran_2_verse_34_authentic	\N	\N	AUTHENTIC	quran_2_verse_34
quran_2_verse_35_authentic	\N	\N	AUTHENTIC	quran_2_verse_35
quran_2_verse_36_authentic	\N	\N	AUTHENTIC	quran_2_verse_36
quran_2_verse_37_authentic	\N	\N	AUTHENTIC	quran_2_verse_37
quran_2_verse_38_authentic	\N	\N	AUTHENTIC	quran_2_verse_38
quran_2_verse_39_authentic	\N	\N	AUTHENTIC	quran_2_verse_39
quran_2_verse_40_authentic	\N	\N	AUTHENTIC	quran_2_verse_40
quran_2_verse_41_authentic	\N	\N	AUTHENTIC	quran_2_verse_41
quran_2_verse_42_authentic	\N	\N	AUTHENTIC	quran_2_verse_42
quran_2_verse_43_authentic	\N	\N	AUTHENTIC	quran_2_verse_43
quran_2_verse_44_authentic	\N	\N	AUTHENTIC	quran_2_verse_44
quran_2_verse_45_authentic	\N	\N	AUTHENTIC	quran_2_verse_45
quran_2_verse_46_authentic	\N	\N	AUTHENTIC	quran_2_verse_46
quran_2_verse_47_authentic	\N	\N	AUTHENTIC	quran_2_verse_47
quran_2_verse_48_authentic	\N	\N	AUTHENTIC	quran_2_verse_48
quran_2_verse_49_authentic	\N	\N	AUTHENTIC	quran_2_verse_49
quran_2_verse_50_authentic	\N	\N	AUTHENTIC	quran_2_verse_50
quran_2_verse_51_authentic	\N	\N	AUTHENTIC	quran_2_verse_51
quran_2_verse_52_authentic	\N	\N	AUTHENTIC	quran_2_verse_52
quran_2_verse_53_authentic	\N	\N	AUTHENTIC	quran_2_verse_53
quran_2_verse_54_authentic	\N	\N	AUTHENTIC	quran_2_verse_54
quran_2_verse_55_authentic	\N	\N	AUTHENTIC	quran_2_verse_55
quran_2_verse_56_authentic	\N	\N	AUTHENTIC	quran_2_verse_56
quran_2_verse_57_authentic	\N	\N	AUTHENTIC	quran_2_verse_57
quran_2_verse_58_authentic	\N	\N	AUTHENTIC	quran_2_verse_58
quran_2_verse_59_authentic	\N	\N	AUTHENTIC	quran_2_verse_59
quran_2_verse_60_authentic	\N	\N	AUTHENTIC	quran_2_verse_60
quran_2_verse_61_authentic	\N	\N	AUTHENTIC	quran_2_verse_61
quran_2_verse_62_authentic	\N	\N	AUTHENTIC	quran_2_verse_62
quran_2_verse_63_authentic	\N	\N	AUTHENTIC	quran_2_verse_63
