quran_1_verse_1_tashkeel_official	\N	\N	OFFICIAL	\N	quran_1_verse_1_tashkeel
quran_1_verse_1_transliteration_eng_official	\N	\N	OFFICIAL	quran_1_verse_1_transliteration_eng	\N
quran_1_verse_2_tashkeel_official	\N	\N	OFFICIAL	\N	quran_1_verse_2_tashkeel
quran_1_verse_2_transliteration_eng_official	\N	\N	OFFICIAL	quran_1_verse_2_transliteration_eng	\N
quran_1_verse_3_tashkeel_official	\N	\N	OFFICIAL	\N	quran_1_verse_3_tashkeel
quran_1_verse_3_transliteration_eng_official	\N	\N	OFFICIAL	quran_1_verse_3_transliteration_eng	\N
quran_1_verse_4_tashkeel_official	\N	\N	OFFICIAL	\N	quran_1_verse_4_tashkeel
quran_1_verse_4_transliteration_eng_official	\N	\N	OFFICIAL	quran_1_verse_4_transliteration_eng	\N
quran_1_verse_5_tashkeel_official	\N	\N	OFFICIAL	\N	quran_1_verse_5_tashkeel
quran_1_verse_5_transliteration_eng_official	\N	\N	OFFICIAL	quran_1_verse_5_transliteration_eng	\N
quran_1_verse_6_tashkeel_official	\N	\N	OFFICIAL	\N	quran_1_verse_6_tashkeel
quran_1_verse_6_transliteration_eng_official	\N	\N	OFFICIAL	quran_1_verse_6_transliteration_eng	\N
quran_1_verse_7_tashkeel_official	\N	\N	OFFICIAL	\N	quran_1_verse_7_tashkeel
quran_1_verse_7_transliteration_eng_official	\N	\N	OFFICIAL	quran_1_verse_7_transliteration_eng	\N
quran_2_verse_1_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_1_tashkeel
quran_2_verse_1_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_1_transliteration_eng	\N
quran_2_verse_2_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_2_tashkeel
quran_2_verse_2_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_2_transliteration_eng	\N
quran_2_verse_3_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_3_tashkeel
quran_2_verse_3_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_3_transliteration_eng	\N
quran_2_verse_4_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_4_tashkeel
quran_2_verse_4_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_4_transliteration_eng	\N
quran_2_verse_5_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_5_tashkeel
quran_2_verse_5_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_5_transliteration_eng	\N
quran_2_verse_6_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_6_tashkeel
quran_2_verse_6_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_6_transliteration_eng	\N
quran_2_verse_7_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_7_tashkeel
quran_2_verse_7_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_7_transliteration_eng	\N
quran_2_verse_8_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_8_tashkeel
quran_2_verse_8_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_8_transliteration_eng	\N
quran_2_verse_9_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_9_tashkeel
quran_2_verse_9_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_9_transliteration_eng	\N
quran_2_verse_10_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_10_tashkeel
quran_2_verse_10_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_10_transliteration_eng	\N
quran_2_verse_11_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_11_tashkeel
quran_2_verse_11_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_11_transliteration_eng	\N
quran_2_verse_12_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_12_tashkeel
quran_2_verse_12_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_12_transliteration_eng	\N
quran_2_verse_13_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_13_tashkeel
quran_2_verse_13_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_13_transliteration_eng	\N
quran_2_verse_14_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_14_tashkeel
quran_2_verse_14_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_14_transliteration_eng	\N
quran_2_verse_15_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_15_tashkeel
quran_2_verse_15_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_15_transliteration_eng	\N
quran_2_verse_16_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_16_tashkeel
quran_2_verse_16_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_16_transliteration_eng	\N
quran_2_verse_17_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_17_tashkeel
quran_2_verse_17_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_17_transliteration_eng	\N
quran_2_verse_18_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_18_tashkeel
quran_2_verse_18_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_18_transliteration_eng	\N
quran_2_verse_19_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_19_tashkeel
quran_2_verse_19_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_19_transliteration_eng	\N
quran_2_verse_20_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_20_tashkeel
quran_2_verse_20_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_20_transliteration_eng	\N
quran_2_verse_21_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_21_tashkeel
quran_2_verse_21_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_21_transliteration_eng	\N
quran_2_verse_22_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_22_tashkeel
quran_2_verse_22_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_22_transliteration_eng	\N
quran_2_verse_23_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_23_tashkeel
quran_2_verse_23_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_23_transliteration_eng	\N
quran_2_verse_24_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_24_tashkeel
quran_2_verse_24_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_24_transliteration_eng	\N
quran_2_verse_25_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_25_tashkeel
quran_2_verse_25_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_25_transliteration_eng	\N
quran_2_verse_26_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_26_tashkeel
quran_2_verse_26_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_26_transliteration_eng	\N
quran_2_verse_27_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_27_tashkeel
quran_2_verse_27_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_27_transliteration_eng	\N
quran_2_verse_28_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_28_tashkeel
quran_2_verse_28_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_28_transliteration_eng	\N
quran_2_verse_29_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_29_tashkeel
quran_2_verse_29_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_29_transliteration_eng	\N
quran_2_verse_30_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_30_tashkeel
quran_2_verse_30_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_30_transliteration_eng	\N
quran_2_verse_31_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_31_tashkeel
quran_2_verse_31_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_31_transliteration_eng	\N
quran_2_verse_32_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_32_tashkeel
quran_2_verse_32_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_32_transliteration_eng	\N
quran_2_verse_33_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_33_tashkeel
quran_2_verse_33_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_33_transliteration_eng	\N
quran_2_verse_34_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_34_tashkeel
quran_2_verse_34_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_34_transliteration_eng	\N
quran_2_verse_35_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_35_tashkeel
quran_2_verse_35_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_35_transliteration_eng	\N
quran_2_verse_36_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_36_tashkeel
quran_2_verse_36_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_36_transliteration_eng	\N
quran_2_verse_37_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_37_tashkeel
quran_2_verse_37_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_37_transliteration_eng	\N
quran_2_verse_38_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_38_tashkeel
quran_2_verse_38_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_38_transliteration_eng	\N
quran_2_verse_39_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_39_tashkeel
quran_2_verse_39_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_39_transliteration_eng	\N
quran_2_verse_40_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_40_tashkeel
quran_2_verse_40_transliteration_eng_official	\N	\N	OFFICIAL	quran_2_verse_40_transliteration_eng	\N
quran_2_verse_41_tashkeel_official	\N	\N	OFFICIAL	\N	quran_2_verse_41_tashkeel
